tag,n,acc
age_unknown,1318,0.81259483
body_part,20000,0.74595
bright,1272,0.7421384
dark,3361,0.7334127
depiction,754,0.41777188
far,943,0.6638388
gender_unknown,1727,0.84308046
medium_distance,2400,0.8283333
middle_age,2348,0.8999148
near,5946,0.93491423
non-person_depiction,378,0.52645504
non-person_non-depiction,9275,0.64851755
normal_lighting,15367,0.74900764
older,102,0.88235295
person_depiction,376,0.30851063
predominantly_female,801,0.9313358
predominantly_male,1372,0.88848394
young,331,0.93655586
